university,subject,year,band_a_appl,band_a_offer,max,min,average
polyu,cs,2017,950,76,21,20,20.5
polyu,cs,2016,566,65,25,19,21.9
polyu,cs,2015,694,69,25,20,21.8
polyu,cs,2014,776,67,31,20,22.6
polyu,cs,2013,1046,63,26,21,23.1
polyu,cs,2012,489,73,23,19,20.5
polyu,business,2017,583,65,23,20,22
polyu,business,2016,925,70,24,22,23
polyu,business,2015,968,67,30,22,23.2
polyu,business,2014,1149,69,26,22,23.2
polyu,business,2013,1067,66,26,22,22.9
polyu,business,2012,731,64,27,21,23.1
polyu,nursing,2017,1452,157,27,23,24.8
polyu,nursing,2016,1691,157,26,22,24.1
polyu,nursing,2015,2008,146,30,22,24.3
polyu,nursing,2014,2339,154,29,22,23.9
polyu,nursing,2013,2549,154,27,22,24
polyu,nursing,2012,2138,168,26,21,22.7
bu,science,2017,1491,154,22,19,20.6
bu,science,2016,1361,145,22,19,21.1
bu,science,2015,2101,177,23,21,21.8
bu,science,2014,2282,153,23,21,21.8
bu,science,2013,2272,119,25,21,22.1
bu,science,2012,2499,141,23,20,21.3
hku,engineering,2017,1090,365,33,22,25.8
hku,engineering,2016,1194,359,32,22,26.1
hku,engineering,2015,1057,356,32,22,26.6
hku,engineering,2014,1021,318,33,23,27
hku,engineering,2013,703,257,32,24,27.7
hku,science,2017,1086,313,32,22,24.5
hku,science,2016,1037,318,34,22,25.6
hku,science,2015,1181,318,30,23,25.6
hku,science,2014,1062,326,31,23,26.1
hku,science,2013,1139,338,33,23,27.4
hku,bba,2017,375,137,28,25,26.7
hku,bba,2016,420,164,34,25,28
hku,bba,2015,524,160,34,24,28.3
hku,bba,2014,518,160,30,26,28.2
hku,bba,2013,621,155,31,26,28.3
hku,nursing,2017,986,105,28,24,24.7
hku,nursing,2016,803,115,27,23,24.6
hku,nursing,2015,940,113,26,24,24.6
hku,nursing,2014,1417,110,29,24,25.2
hku,nursing,2013,613,101,29,22,25.2
hku,nursing,2012,1008,102,30,22,24.5
cuhk,engineering,2017,1905,431,29,18,21.8
cuhk,engineering,2016,2151,377,26,20,22.3
cuhk,engineering,2015,1746,366,32,21,22.9
cuhk,engineering,2014,2531,362,33,21,23.9
cuhk,engineering,2013,1808,360,29,21,23.4
cuhk,science,2017,1870,403,33,21,23.9
cuhk,science,2016,1106,381,31,21,23.9
cuhk,science,2015,1284,378,33,23,25.8
cuhk,science,2014,1261,388,32,19,26.3
cuhk,science,2013,1255,365,32,23,26.9
cuhk,bba,2017,1034,211,29,24,25.9
cuhk,bba,2016,796,205,29,24,25.6
cuhk,bba,2015,789,193,29,25,26.5
cuhk,bba,2014,899,192,35,25,26.8
cuhk,bba,2013,792,190,31,24,26.7
cuhk,nursing,2017,802,162,28,24,26.3
cuhk,nursing,2016,887,173,33,24,26.8
cuhk,nursing,2015,1003,174,32,25,26.8
cuhk,nursing,2014,1060,181,29,24,25.8
cuhk,nursing,2013,1370,184,32,24,26.5
